,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
0,248694,https://images.metmuseum.org/CRDImages/gr/web-large/sf1222923b.jpg,Relief of a duck,Relief of a duck,Bone,"Miscellaneous-Bone, Ivory",Greek and Roman Art,Roman,Early Imperial,1st century A.D.,1
1,248695,https://images.metmuseum.org/CRDImages/gr/web-large/sf1222923c.jpg,Relief of a child,Relief of a child,Bone,"Miscellaneous-Bone, Ivory",Greek and Roman Art,,,,1
2,257575,https://images.metmuseum.org/CRDImages/gr/web-large/sf141301c.jpg,Eye inlays,Eye inlays,"Bone, ivory","Miscellaneous-Bone, Ivory",Greek and Roman Art,,,,1
3,31064,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1417a_b_001_Mar2017.jpg,Sword with Scabbard,Sword with scabbard,Ivory,Swords,Arms and Armor,Batak,,16th–19th century,1
4,34077,https://images.metmuseum.org/CRDImages/aa/web-large/29.158.658a_001feb2014.jpg,Hilt of a Dagger,Hilt of a dagger,Ivory,Daggers,Arms and Armor,"possibly Italian, Venice",,ca. 1300,1
5,34111,https://images.metmuseum.org/CRDImages/aa/web-large/LC-29.158.698-059.jpg,Dagger Pommel,Dagger pommel,Ivory,Daggers,Arms and Armor,probably Northern Europe,,possibly 9th–11th century,1
6,34156,https://images.metmuseum.org/CRDImages/aa/web-large/29.158.427_001nov2014.jpg,Plaque with Jousting Knights,Plaque,Ivory,Miscellaneous,Arms and Armor,French,,15th century,1
7,195117,https://images.metmuseum.org/CRDImages/es/web-large/56739.jpg,Crucifix,Crucifix,Ivory,Sculpture-Miniature,European Sculpture and Decorative Arts,,,late 17th century,1
8,195112,https://images.metmuseum.org/CRDImages/es/web-large/56751.jpg,Dancing Child with Tambourine,Statuette,Ivory,Sculpture-Miniature,European Sculpture and Decorative Arts,,,ca. 1770–80,1
9,195113,https://images.metmuseum.org/CRDImages/es/web-large/76740.jpg,Dancing Child with Castanets,Statuette,Ivory,Sculpture-Miniature,European Sculpture and Decorative Arts,,,ca. 1770–80,1
10,141484,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.30a_F.jpg,Jewelry set,Jewelry Set,Ivory,,Costume Institute,Indian (Naga),,19th century,1
11,141547,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.94a–e_F.jpg,Jewelry set,Jewelry Set,ivory,,Costume Institute,African,,probably 19th century,1
12,141555,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.102_F.jpg,Necklace,Necklace,ivory,,Costume Institute,African,,probably 19th century,1
13,141550,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.97_F.jpg,Bracelet,Bracelet,Ivory,,Costume Institute,African,,probably 19th century,1
14,141552,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.99_S.jpg,Bracelet,Bracelet,ivory,,Costume Institute,African,,probably 19th century,1
15,141604,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.157_F.jpg,Ring,Ring,ivory,,Costume Institute,Chinese,,probably 19th century,1
16,141483,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.29ab_F.jpg,Jewelry set,Jewelry Set,ivory,,Costume Institute,Indian (Naga),,19th century,1
17,141549,https://images.metmuseum.org/CRDImages/ci/web-large/2008.190.96ab_F.jpg,Jewelry set,Jewelry Set,ivory,,Costume Institute,African,,probably 19th century,1
18,196358,https://images.metmuseum.org/CRDImages/es/web-large/71094.jpg,Crucifix,Crucifix,Ivory,Sculpture-Miniature,European Sculpture and Decorative Arts,,,late 16th–early 17th century,1
19,196701,https://images.metmuseum.org/CRDImages/es/web-large/81997.jpg,Counter,Counter,Ivory,Sculpture-Miniature,European Sculpture and Decorative Arts,,,16th century,1
20,209847,https://images.metmuseum.org/CRDImages/es/web-large/178998.jpg,Fan,Fan,Ivory,Fans,European Sculpture and Decorative Arts,,,18th century,1
21,206769,https://images.metmuseum.org/CRDImages/es/web-large/215082.jpg,Corpus,Corpus,Ivory,Sculpture,European Sculpture and Decorative Arts,,,17th century,1
22,246671,https://images.metmuseum.org/CRDImages/gr/web-large/LC-96_18_176.jpg,Ring,Ring,Bone,"Miscellaneous-Bone, Ivory",Greek and Roman Art,,,,1
23,199901,https://images.metmuseum.org/CRDImages/es/web-large/LC-48_174_15-001.jpg,Chessmen (32),Chessmen,"Bone, ivory",Chess Sets,European Sculpture and Decorative Arts,,,mid-19th century,1
24,199913,https://images.metmuseum.org/CRDImages/es/web-large/LC-48_174_27-001.jpg,Chessmen,Chessmen,Ivory,Chess Sets,European Sculpture and Decorative Arts,,,18th century,1
25,199965,https://images.metmuseum.org/CRDImages/es/web-large/145876.jpg,Chessmen,Chessmen,Ivory,Chess Sets,European Sculpture and Decorative Arts,,,late 18th century,1
26,199988,https://images.metmuseum.org/CRDImages/es/web-large/145912.jpg,Chessmen,Chessmen,Ivory,Chess Sets,European Sculpture and Decorative Arts,,,18th century,1
27,200010,https://images.metmuseum.org/CRDImages/es/web-large/146483.jpg,Chessmen (32),Chessmen,Ivory,Chess Sets,European Sculpture and Decorative Arts,,,late 19th century,1
