,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
0,248694,https://images.metmuseum.org/CRDImages/gr/web-large/sf1222923b.jpg,Relief of a duck,Relief of a duck,Bone,"Miscellaneous-Bone, Ivory",Greek and Roman Art,Roman,Early Imperial,1st century A.D.,1
1,248695,https://images.metmuseum.org/CRDImages/gr/web-large/sf1222923c.jpg,Relief of a child,Relief of a child,Bone,"Miscellaneous-Bone, Ivory",Greek and Roman Art,,,,1
2,257575,https://images.metmuseum.org/CRDImages/gr/web-large/sf141301c.jpg,Eye inlays,Eye inlays,"Bone, ivory","Miscellaneous-Bone, Ivory",Greek and Roman Art,,,,1
3,25138,,Dirk with Sheath,Dirk with sheath,"Steel, ivory, leather, gold",Daggers,Arms and Armor,French,,16th century,1
4,25137,,Cinquedea,Cinquedea,"Steel, brass, ivory, gold, latten",Daggers,Arms and Armor,Italian,,1525–50,1
5,26647,,Naval Dirk,Naval dirk,"Steel, copper alloy, gold, ivory",Daggers,Arms and Armor,American,,1800–1850,1
6,26646,,Naval Dirk with Sheath,Naval dirk with sheath,"Steel, copper alloy, gold, ivory",Daggers,Arms and Armor,American,,1800–1850,1
7,26655,,Naval Dirk,Naval dirk,"Steel, copper alloy, gold, ivory",Daggers,Arms and Armor,American,,1800–1850,1
8,31133,,Sword (Shamshir),Sword (Shamshir),"Steel, silver, gold, ivory",Swords,Arms and Armor,Indian,,19th century,1
9,31176,,Sword (Dao),Sword (dao),"Steel, ivory",Swords,Arms and Armor,"Indian, Assam, Naga Hills",,19th century,1
10,31163,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1338a_b_001_Mar2017.jpg,Sword (Yatagan) with Scabbard,Sword (Yatagan) with scabbard,"Steel, ivory, copper, gold, coral, emeralds",Swords,Arms and Armor,Turkish,,18th–19th century,1
11,31173,,Sword (Yatagan) with Scabbard,Sword (Yatagan) with scabbard,"Steel, brass, ivory, leather, silver, wood",Swords,Arms and Armor,Albanian,,1782–83,1
12,31164,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1339a_b_001_Mar2017.jpg,Sword (Yatagan) with Scabbard,Sword (Yatagan) with scabbard,"Steel, silver, ivory, copper, coral",Swords,Arms and Armor,Turkish,,18th–19th century,1
13,31200,,Saber,Saber,"Brass, ivory, stones",Swords,Arms and Armor,Malayan,,18th–19th century,1
14,31199,,Sword with Scabbard,Sword with scabbard,"Wood, ivory, horn, silver",Swords,Arms and Armor,"Sumatran, Acheen",,16th–19th century,1
15,31095,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1450ab_003july2014.jpg,Sword with Scabbard,Sword with scabbard,"Ivory, wood, horn, silver, textile",Swords,Arms and Armor,Bhutanese,,19th century,1
16,31064,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1417a_b_001_Mar2017.jpg,Sword with Scabbard,Sword with scabbard,Ivory,Swords,Arms and Armor,Batak,,16th–19th century,1
17,31081,,Sword (Dha) with Scabbard and Baldric,Sword (Dha) with scabbard and baldric,"Steel, ivory, silver, wood, textile",Swords,Arms and Armor,Burmese,,19th century,1
18,31074,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1428ab_005july2014.jpg,Sword (Dha) with Scabbard and Baldric,Sword (Dha) with scabbard and baldric,"Ivory, silver, wood",Swords,Arms and Armor,Burmese,,19th century,1
19,31107,,Sword with Scabbard,Sword with scabbard,"Steel, wood, ivory, brass",Swords,Arms and Armor,Chinese,,18th–19th century,1
20,31132,,Sword (Shamshir) with Scabbard Sling Straps,Sword (shamshir) with scabbard sling straps,"Steel, ivory (elephant), gold",Swords,Arms and Armor,Indian,,18th century,1
21,31153,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1328ab_001July2014.jpg,Sword Cane with Scabbard,Sword cane with scabbard,"Steel, ivory, horn, lacquer",Swords,Arms and Armor,"hilt, scabbard, Indian; blade, European",,17th century,1
22,31120,,Sword with Scabbard,Sword with scabbard,"Steel, ivory, iron, gold, wood, leather",Swords,Arms and Armor,Persian,,19th century,1
23,31005,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1554ab_010AA2015.jpg,Sword with Scabbard,Sword with scabbard,"Steel, leather, silver, ivory, wood",Swords,Arms and Armor,Caucasian,,19th century,1
24,31038,,Sword (Ayda Katti),Sword (ayda katti),"Steel, ivory",Swords,Arms and Armor,"Indian, Coorg",,18th–19th century,1
25,31026,,Sword with Scabbard,Sword with scabbard,"Steel, ivory, gold, wood, leather, silver, textile",Swords,Arms and Armor,Persian,,18th century,1
26,31244,,Kris with Sheath,Kris with sheath,"Ivory, wood",Krisses,Arms and Armor,"Indonesian, Sumbawa",,18th–19th century,1
27,31240,,Kris with Sheath,Kris with sheath,"Steel, ivory, wood, copper, silver, semiprecious stones",Krisses,Arms and Armor,"Sumatran, Sumatera Selatan",,16th–19th century,1
