,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
0,186685,https://images.metmuseum.org/CRDImages/es/web-large/LC-84_2_10.jpg,Bowl with Saint Francis receiving the stigmata,Bowl,"Maiolica (tin-glazed earthenware), lustered",Ceramics-Pottery,European Sculpture and Decorative Arts,,,16th century,0
1,194344,https://images.metmuseum.org/CRDImages/es/web-large/40643.jpg,Plate,Plate,Faience (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,1730–1800,0
2,47555,https://images.metmuseum.org/CRDImages/as/web-large/204701.jpg,Plate,Plate,Porcelain,Ceramics,Asian Art,China,Ming dynasty (1368–1644),,0
4,48435,https://images.metmuseum.org/CRDImages/as/web-large/186185.jpg,Model of a stove,Model of a stove,Earthenware with green glaze,Tomb Pottery,Asian Art,China,Han dynasty (206 B.C.–A.D. 220),1st–2nd century,0
6,695250,https://images.metmuseum.org/CRDImages/md/web-large/28.99.85_28.99.343.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
7,203516,https://images.metmuseum.org/CRDImages/es/web-large/DP-470-078.jpg,Cupid and doves,Toy,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1760,0
8,322832,https://images.metmuseum.org/CRDImages/an/web-large/ME32_150_420.jpg,Sherd,Sherd,Ceramic,,Ancient Near Eastern Art,Sasanian or Islamic,Sasanian–early Islamic,ca. 6th–8th century A.D.,0
9,194280,https://images.metmuseum.org/CRDImages/es/web-large/40730.jpg,Plate,Plate,Faience (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1730,0
10,50697,https://images.metmuseum.org/CRDImages/as/web-large/1974_369_12_205585.jpg,Cup,Cup,Porcelain,Ceramics,Asian Art,China,Qing dynasty (1644–1911),late 17th–early 18th century,0
11,448813,https://images.metmuseum.org/CRDImages/is/web-large/sf32-150-342a.jpg,Fragment,Fragment,Earthenware; glazed,Ceramics,Islamic Art,,,3rd–8th century,0
14,208286,https://images.metmuseum.org/CRDImages/es/web-large/DP-15122-072.jpg,Plate with a vase of flowers,Plate,Hard-paste porcelain painted with colored enamels over transparent glaze (Jingdezhen ware),Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,1700–1725,0
15,200654,https://images.metmuseum.org/CRDImages/es/web-large/147863.jpg,Teapot,Teapot,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,"ca. 1725, decorated ca. 1735",0
16,327840,https://images.metmuseum.org/CRDImages/an/web-large/MEINST62_3_7.jpg,Spindle whorl,Whorl,Ceramic,,Ancient Near Eastern Art,,Chalcolithic,5th millennium B.C.,0
17,208769,https://images.metmuseum.org/CRDImages/es/web-large/77996.jpg,Panel of tiles,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
18,312599,https://images.metmuseum.org/CRDImages/ao/web-large/DP102175.jpg,Pedestal Bowl,Bowl,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Guanacaste-Nicoya,,13th–16th century,0
20,232033,https://images.metmuseum.org/CRDImages/es/web-large/SF2006_309_4.jpg,"Double-gourd vase (one of a pair, part of a garniture)",Double vase,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1690,0
21,42336,https://images.metmuseum.org/CRDImages/as/web-large/DP-13773-001.jpg,Wine bottle with decoration of landscape and poem,Bottle,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Ceramics,Asian Art,China,"Ming dynasty (1368–1644), Chongzhen period (1628–44)",mid-17th century,0
22,308513,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.7.JPG,Stirrup Spout Bottle with Pumas,Bottle,"Ceramic, slip, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,300–150 B.C.,0
23,185923,https://images.metmuseum.org/CRDImages/es/web-large/28619.jpg,Beaker and saucer,Beaker and saucer,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,19th century,0
24,47492,https://images.metmuseum.org/CRDImages/as/web-large/50_221_44_O1_sf.jpg,Meiping vase,Vase,Porcelain with crackled green glaze (Jingdezhen ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),18th century,0
25,726173,https://images.metmuseum.org/CRDImages/es/web-large/DP-1063-021.jpg,Saucer (part of a service),Saucer,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1780–90,0
27,46220,https://images.metmuseum.org/CRDImages/as/web-large/87019.jpg,Covered bowl with floral pattern,Covered bowl,Porcelain painted in overglaze polychrome enamels (Bencharong ware for Thai market),Ceramics,Asian Art,China,Qing dynasty (1644–1911),19th century,0
28,853308,https://images.metmuseum.org/CRDImages/is/web-large/sf23-75-36j.jpg,Fragments of Splashed Ceramic,Fragments,Earthenware; painted on opaque white glaze (some fragments only),Ceramics,Islamic Art,,,9th century,0
29,48118,https://images.metmuseum.org/CRDImages/as/web-large/75827.jpg,Bowl,Bowl,Dark brown ware with thick black glaze (Jian ware),Ceramics,Asian Art,China,Yuan dynasty (1271–1368),,0
